Token,Length,Frequency
ja,2,89
on,2,53
õigus,5,33
või,3,30
Igal,4,28
Artikkel,8,28
inimesel,8,25
ei,2,16
oma,3,14
et,2,12
ning,4,12
mis,3,10
peab,4,10
tema,4,9
silmas,6,8
nende,5,7
kaasa,5,7
pidades,7,7
kui,3,6
õiguste,7,6
eest,4,6
olema,5,6
kaitsele,8,5
kus,3,5
vabalt,6,5
ka,2,5
ükskõik,7,5
meelevaldselt,13,5
seaduse,7,5
ühiskonna,9,4
Kedagi,6,4
võtta,5,4
see,3,4
vabadust,8,4
riigi,5,4
kaudu,5,4
tohi,4,4
mida,4,3
veendumuste,11,3
vabaduse,8,3
aitama,6,3
võrdsele,8,3
rahvaste,8,3
kaitseks,8,3
ilma,4,3
usku,4,3
sotsiaalsele,12,3
olenemata,9,3
nii,3,3
korral,6,3
ta,2,3
Haridus,7,3
Ühinenud,8,3
pidada,6,3
ajal,4,3
sellele,7,3
õigused,7,3
vabadusele,10,3
kõik,4,3
temale,6,3
kasutada,8,3
vahel,5,3
Kõik,4,2
sellisele,9,2
varjupaika,10,2
võrdselt,8,2
abinõudega,10,2
siis,4,2
kindlustatusele,15,2
alusel,6,2
Organisatsiooni,15,2
hääletamise,11,2
peavad,6,2
aidata,6,2
koos,4,2
veendumustest,13,2
saa,3,2
võrdse,6,2
rahvusvahelise,14,2
avalikult,9,2
kõigi,5,2
inimkonna,9,2
sotsiaalne,10,2
tagatud,7,2
kättesaadav,11,2
käesoleva,9,2
alati,5,2
arendamisele,12,2
läbi,4,2
suhtes,6,2
rahu,4,2
ära,3,2
kätkeb,6,2
inimõiguste,11,2
Kelleltki,9,2
inimene,7,2
poolt,5,2
õigust,6,2
kõigile,7,2
üksikult,8,2
mõnel,5,2
töö,3,2
Rahvaste,8,2
kuulutatud,10,2
otsida,6,2
nad,3,2
arvatud,7,2
inimeste,8,2
osa,3,2
oleks,5,2
abielu,6,2
vastavalt,9,2
õiguse,6,2
deklaratsiooniga,16,2
kinni,5,2
kas,3,2
kuriteos,8,2
inimisiksuse,12,2
teistes,7,2
vara,4,2
vabadused,9,2
muul,4,2
progressi,9,2
selle,5,2
ees,3,2
tööpuuduse,10,2
iga,3,2
huvide,6,2
tahe,4,2
väärikuse,9,2
inimestel,9,2
rahvuslike,10,2
inimesed,8,2
kordasaatmise,13,2
sõltumatu,9,2
vastuolus,9,2
maa,3,2
Kellegi,7,2
kohustuste,10,2
võrdsuse,8,2
tasule,6,2
teistega,8,2
põhjal,6,2
karistust,9,2
austamisele,11,2
igasuguste,10,2
abielus,7,2
veendumusi,10,2
inimesle,8,2
õigluse,7,2
üldise,6,2
Inimõiguste,11,2
võrdsed,7,2
igasuguse,9,2
mille,5,2
välja,5,2
väljaspool,10,1
naiste,6,1
täielikul,9,1
valikule,8,1
rahavaste,9,1
lahutamise,10,1
vahet,5,1
vabatahtlikul,13,1
teiste,6,1
põhivabaduste,13,1
ülesande,8,1
antud,5,1
sõnavabadus,11,1
millisesse,10,1
riigiteenistusse,16,1
assotsiatsiooni,15,1
kellegi,7,1
rahvad,6,1
talle,5,1
töötingimustele,15,1
saama,5,1
isikupuutumatusele,18,1
tuleb,5,1
elatusvahenditest,17,1
mõistlik,8,1
teha,4,1
kuni,4,1
selleks,7,1
heaolu,6,1
anda,4,1
töödest,7,1
õiglasele,9,1
invaliidsuse,12,1
loomulik,8,1
väikelapseiga,13,1
pääsule,7,1
kogunemise,10,1
vahele,6,1
sellest,7,1
diskrimineerimise,17,1
majanduslikul,13,1
korter,6,1
teenindamine,12,1
Emadus,6,1
eraviisiliselt,14,1
vanaduse,8,1
levitada,8,1
seadusega,9,1
Lisaks,6,1
tõusma,6,1
sõbralike,9,1
kunsti,6,1
väärikust,9,1
soodustama,10,1
lahkuda,7,1
teo,3,1
maades,6,1
viimase,7,1
tähtsus,7,1
üllaks,6,1
vahetult,8,1
suurema,7,1
progressiivsete,15,1
saada,5,1
põhiõigustesse,14,1
üldisel,7,1
kodakondsuse,12,1
hariduse,8,1
muuta,5,1
