Token,Length,Frequency
sa,2,131
ng,2,119
at,2,81
mga,3,52
na,2,52
Ang,3,33
karapatan,9,32
may,3,29
ang,3,29
bawat,5,28
Artikulo,8,25
tao'y,5,23
o,1,22
kanyang,7,20
ay,2,18
mang,4,18
tao,3,13
pantay,6,13
karapatang,10,13
walang,6,12
isang,5,11
ito,3,11
di,2,10
kalayaan,8,10
pamamagitan,11,9
batas,5,9
ano,3,9
bansa,5,9
Walang,6,8
lahat,5,8
Sapagkat,8,7
nang,4,7
laban,5,7
sino,4,6
kasama,6,6
sarili,6,6
pangangalaga,12,6
karangalan,10,6
iba,3,6
pag,3,5
pandaigdig,10,5
lipunan,7,5
pagtatangi,10,5
pagkakasalang,13,5
panahong,8,5
pang,4,5
panlipunan,10,5
relihiyon,9,5
malayang,8,4
Estado,6,4
dapat,5,4
kalayaang,9,4
pamilya,7,4
pinarurusahan,13,4
para,4,4
taong,5,4
bilang,6,4
Nagkakaisa,10,3
makatwirang,11,3
Pahayag,7,3
lubhang,7,3
mag,3,3
nasa,4,3
buhay,5,3
karapat,7,3
mahalaga,8,3
arian,5,3
makatarungan,12,3
pagkamamamayan,14,3
pambansa,8,3
maging,6,3
panghihimasok,13,3
pagtalima,9,3
katwiran,8,3
ilalim,6,3
lalong,6,3
budhi,5,3
Bansang,7,3
kanilang,8,3
paggawa,7,3
pampulitika,11,3
mamamayan,9,3
malaya,6,3
kailangan,9,3
gawang,6,3
ari,3,3
nararapat,9,2
dahil,5,2
kapanatagan,11,2
kuro,4,2
uusig,5,2
kanya,5,2
tunay,5,2
pana,4,2
ganap,5,2
makatao,7,2
itaguyod,8,2
mapapasukang,12,2
hayag,5,2
paraan,6,2
gawain,6,2
lahi,4,2
paglilingkod,12,2
hindi,5,2
daigdig,7,2
pagsasamahan,12,2
pagkatao,8,2
pagtuturo,9,2
pagtatakda,10,2
ni,2,2
hanggahan,9,2
gayong,6,2
mabuting,8,2
asawa,5,2
paggalang,9,2
kung,4,2
pamahalaan,10,2
aalisan,7,2
pagkilala,9,2
nagkasala,9,2
kapantay,8,2
alinsunod,9,2
sapat,5,2
Kasaping,8,2
pangkalahatan,13,2
paglilitis,10,2
tuligsa,7,2
saligan,7,2
magpalit,8,2
ito'y,5,2
isa,3,2
kalagayan,9,2
paninirahan,11,2
paniniwala,10,2
kinabibilangan,14,2
pamantayan,10,2
alin,4,2
humanap,7,2
harap,5,2
NG,2,2
mabisang,8,2
hukumang,8,2
pagpapaunlad,12,2
pipiliting,10,2
pangunahing,11,2
saligang,8,2
nagpapahayag,12,1
magiging,8,1
pagpapagamot,12,1
diwa,4,1
makinabang,10,1
kabayarang,10,1
pagtatanggol,12,1
kapangyarihan,13,1
lunas,5,1
pagsang,7,1
tuwiran,7,1
teritoryong,11,1
katayuang,9,1
aalipinin,9,1
dako,4,1
hanggang,8,1
galamay,7,1
kinatawang,10,1
Hindi,5,1
pagkukulang,11,1
gaya,4,1
gawa,4,1
pagkakabuo,10,1
kuru,4,1
kulay,5,1
pamayanan,9,1
PANDAIGDIG,10,1
Samakatuwid,11,1
pupunan,7,1
pagsasaalang,12,1
pagtatanging,12,1
huling,6,1
Mga,3,1
magtatag,8,1
nalalabag,9,1
Nararapat,9,1
paghahari,9,1
lalaki,6,1
nagbubuhat,10,1
din,3,1
pakikipagsulatang,17,1
kabuhayang,10,1
TAO,3,1
ayon,4,1
pagwawalang,11,1
mapagkukunan,12,1
nais,4,1
pinagkalooban,13,1
ipakilala,9,1
kilalanin,9,1
kalooban,8,1
magagawa,8,1
magpamilya,10,1
bayad,5,1
siyang,6,1
makilahok,9,1
